"SkillId","Action","ApplyCount","TruncatedTo3"
"1110100","Replace","5","True"
"1110125","Replace","5","True"
"1110150","Replace","5","True"
"1110175","Replace","5","True"
"1110200","Replace","5","True"
"1110201","Replace","5","True"
"1110235","Replace","5","True"
"1110240","Replace","5","True"
"1110250","Replace","5","True"
"1110300","Replace","5","True"
"1110330","Replace","5","True"
"1110350","Replace","5","True"
"1110400","Replace","5","True"
"1110420","Replace","5","True"
"1110450","Replace","5","True"
"1110500","Replace","5","True"
"1110550","Replace","5","True"
"1110600","Replace","5","True"
"1110650","Replace","5","True"
"1110700","Replace","5","True"
"1110750","Replace","5","True"
"1110900","Replace","5","True"
"1111200","Replace","5","True"
"1111350","Replace","5","True"
"1111600","Replace","5","True"
"1111800","Replace","5","True"
"1112000","Replace","5","True"
"1112101","Replace","5","True"
"1112102","Replace","5","True"
"1112103","Replace","5","True"
"1112104","Replace","5","True"
"1112105","Replace","5","True"
"1112106","Replace","5","True"
"1112107","Replace","5","True"
"1112108","Replace","5","True"
"1112109","Replace","5","True"
"1112110","Replace","5","True"
"1112111","Replace","5","True"
"1112112","Replace","5","True"
"1112113","Replace","5","True"
"1112114","Replace","5","True"
"1112115","Replace","5","True"
"1112116","Replace","5","True"
"1112501","Replace","5","True"
"1112502","Replace","5","True"
"1112503","Replace","5","True"
"1112504","Replace","5","True"
"1112505","Replace","5","True"
"1112506","Replace","5","True"
"1112507","Replace","5","True"
"1112508","Replace","5","True"
"1112509","Replace","5","True"
"1112510","Replace","5","True"
"1112511","Replace","5","True"
"1112512","Replace","5","True"
"1112513","Replace","5","True"
"1112514","Replace","5","True"
"1112515","Replace","5","True"
"1112516","Replace","5","True"
"1113000","Replace","5","True"
"1113001","Replace","5","True"
"1113002","Replace","5","True"
"1113005","Add","5","True"
"1113006","Add","5","True"
"1113007","Add","5","True"
"1113008","Add","5","True"
"1113009","Add","5","True"
"1113010","Add","5","True"
"1113011","Add","5","True"
"1113015","Add","5","True"
"1113016","Add","5","True"
"1113017","Add","5","True"
"1113018","Add","5","True"
"1113019","Add","5","True"
"1113020","Add","5","True"
"1113021","Add","5","True"
"1113022","Add","5","True"
"1113023","Add","5","True"
"1113024","Add","5","True"
"1113025","Add","5","True"
"1113026","Add","5","True"
"1113027","Add","5","True"
"1113028","Add","5","True"
"1113029","Add","5","True"
"1113030","Add","5","True"
"1113031","Add","5","True"
"1113032","Add","5","True"
"1113033","Add","5","True"
"1113034","Add","5","True"
"1113035","Add","5","True"
"1113036","Add","5","True"
"1113037","Add","5","True"
"1113038","Add","5","True"
"1113039","Add","5","True"
"1113040","Add","5","True"
"1140001","Replace","5","True"
"1140002","Replace","5","True"
"1140003","Replace","5","True"
"1140004","Replace","5","True"
"1140005","Replace","5","True"
"1140006","Replace","5","True"
"1140007","Replace","5","True"
"1140008","Replace","5","True"
"1140009","Replace","5","True"
"1140010","Replace","5","True"
"1140011","Replace","5","True"
"1140012","Replace","5","True"
"1140013","Replace","5","True"
"1140014","Replace","5","True"
"1140015","Replace","5","True"
"1140018","Replace","5","True"
"1140101","Replace","5","True"
"1140102","Replace","5","True"
"1140103","Replace","5","True"
"1140104","Replace","5","True"
"1140105","Replace","5","True"
"1140106","Replace","5","True"
"1140107","Replace","5","True"
"1140108","Replace","5","True"
"1140109","Replace","5","True"
"1140110","Replace","5","True"
"1140111","Replace","5","True"
"1140112","Replace","5","True"
"1140113","Replace","5","True"
"1140114","Replace","5","True"
"1140115","Replace","5","True"
"1140116","Replace","5","True"
"1140117","Replace","5","True"
"1140118","Replace","5","True"
"1140119","Replace","5","True"
"1140120","Replace","5","True"
"1140121","Replace","5","True"
"1140122","Replace","5","True"
"1140123","Replace","5","True"
"1140124","Replace","5","True"
"1140125","Replace","5","True"
"1140126","Replace","5","True"
"1140127","Replace","5","True"
"1140128","Replace","5","True"
"1140129","Replace","5","True"
"1140130","Replace","5","True"
"1140131","Replace","5","True"
"1140132","Replace","5","True"
"1140133","Replace","5","True"
"1140134","Replace","5","True"
