Id,SealId,RequiredAmount,SequentialId,ASValue,ARValue,ATValue,BLValue,CTValue,DEValue,DSValue,EVValue,HPValue,HTValue,MSValue,WSValue
11657,130000,1,1,0,0,15,0,0,0,0,0,0,0,0,0
11658,130000,50,1,0,0,30,0,0,0,0,0,0,0,0,0
11659,130000,200,1,0,0,60,0,0,0,0,0,0,0,0,0
11660,130000,500,1,0,0,90,0,0,0,0,0,0,0,0,0
11661,130000,1000,1,0,0,120,0,0,0,0,0,0,0,0,0
11662,130000,3000,1,0,0,150,0,0,0,0,0,0,0,0,0
11663,130001,1,2,0,0,0,0,0,10,0,0,0,0,0,0
11664,130001,50,2,0,0,0,0,0,20,0,0,0,0,0,0
11665,130001,200,2,0,0,0,0,0,40,0,0,0,0,0,0
11666,130001,500,2,0,0,0,0,0,60,0,0,0,0,0,0
11667,130001,1000,2,0,0,0,0,0,80,0,0,0,0,0,0
11668,130001,3000,2,0,0,0,0,0,100,0,0,0,0,0,0
11669,130002,1,3,0,0,20,0,0,0,0,0,0,0,0,0
11670,130002,50,3,0,0,40,0,0,0,0,0,0,0,0,0
11671,130002,200,3,0,0,80,0,0,0,0,0,0,0,0,0
11672,130002,500,3,0,0,120,0,0,0,0,0,0,0,0,0
11673,130002,1000,3,0,0,160,0,0,0,0,0,0,0,0,0
11674,130002,3000,3,0,0,200,0,0,0,0,0,0,0,0,0
11675,130003,1,4,0,0,0,0,0,0,50,0,0,0,0,0
11676,130003,50,4,0,0,0,0,0,0,100,0,0,0,0,0
11677,130003,200,4,0,0,0,0,0,0,200,0,0,0,0,0
11678,130003,500,4,0,0,0,0,0,0,300,0,0,0,0,0
11679,130003,1000,4,0,0,0,0,0,0,400,0,0,0,0,0
11680,130003,3000,4,0,0,0,0,0,0,500,0,0,0,0,0
11681,130004,1,5,0,0,0,0,0,15,0,0,0,0,0,0
11682,130004,50,5,0,0,0,0,0,30,0,0,0,0,0,0
11683,130004,200,5,0,0,0,0,0,60,0,0,0,0,0,0
11684,130004,500,5,0,0,0,0,0,90,0,0,0,0,0,0
11685,130004,1000,5,0,0,0,0,0,120,0,0,0,0,0,0
11686,130004,3000,5,0,0,0,0,0,150,0,0,0,0,0,0
11687,130005,1,6,0,0,0,0,0,0,0,3000,0,0,0,0
11688,130005,50,6,0,0,0,0,0,0,0,6000,0,0,0,0
11689,130005,200,6,0,0,0,0,0,0,0,12000,0,0,0,0
11690,130005,500,6,0,0,0,0,0,0,0,18000,0,0,0,0
11691,130005,1000,6,0,0,0,0,0,0,0,24000,0,0,0,0
11692,130005,3000,6,0,0,0,0,0,0,0,30000,0,0,0,0
